ID,Cluster_Label
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,2
16,0
17,1
18,0
19,0
20,0
21,2
22,0
23,0
24,1
25,2
26,0
27,0
28,0
29,0
30,2
31,0
32,2
33,0
34,1
35,0
36,0
37,0
38,2
39,0
40,1
41,0
42,0
43,2
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,2
55,0
56,1
57,0
58,0
59,2
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,2
70,2
71,1
72,1
73,1
74,1
75,0
76,0
77,2
78,1
79,1
80,0
81,2
82,2
83,1
84,0
85,1
86,2
87,0
88,2
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,2
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,2
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,2
147,1
148,0
149,0
150,2
151,0
152,0
153,1
154,2
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,1
168,0
169,2
170,0
171,1
172,1
173,0
174,2
175,0
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,2
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,2
206,0
207,1
208,2
209,0
210,0
211,2
212,0
213,1
214,0
215,1
216,2
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,1
225,0
226,0
227,2
228,1
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,1
242,2
243,1
244,0
245,0
246,2
247,1
248,0
249,2
250,0
251,0
252,0
253,0
254,0
255,2
256,0
257,1
258,2
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,1
274,1
275,2
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,0
289,2
290,0
291,2
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,1
300,2
301,2
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,1
312,0
313,2
314,1
315,0
316,2
317,1
318,2
319,1
320,1
321,1
322,0
323,0
324,2
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,2
333,1
334,0
335,0
336,0
337,0
338,2
339,2
340,1
341,0
342,1
343,0
344,0
345,2
346,0
347,0
348,0
349,0
350,1
351,0
352,1
353,2
354,0
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,2
365,0
366,0
367,0
368,0
369,1
370,2
371,0
372,1
373,0
374,1
375,2
376,0
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,2
385,1
386,2
387,0
388,0
389,1
390,1
391,1
392,2
393,2
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,2
403,0
404,0
405,1
406,1
407,2
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,1
